Observations,Time,mV,F
158,11/1/16 16:30,729.03,73.2254
159,11/1/16 17:00,735.48,74.3864
160,11/1/16 17:30,722.58,72.0644
161,11/1/16 18:00,732.26,73.8068
162,11/1/16 18:30,741.94,75.5492
163,11/1/16 19:00,725.81,72.6458
164,11/1/16 19:30,732.26,73.8068
165,11/1/16 20:00,738.71,74.9678
166,11/1/16 20:30,732.26,73.8068
167,11/1/16 21:00,741.94,75.5492
168,11/1/16 21:30,735.48,74.3864
169,11/1/16 22:00,732.26,73.8068
170,11/1/16 22:30,732.26,73.8068
171,11/1/16 23:00,735.48,74.3864
172,11/1/16 23:30,729.03,73.2254
173,11/2/16 0:00,732.26,73.8068
174,11/2/16 0:30,725.81,72.6458
175,11/2/16 1:00,725.81,72.6458
176,11/2/16 1:30,722.58,72.0644
177,11/2/16 2:00,729.03,73.2254
178,11/2/16 2:30,722.58,72.0644
179,11/2/16 3:00,722.58,72.0644
180,11/2/16 3:30,719.35,71.483
181,11/2/16 4:00,716.13,70.9034
182,11/2/16 4:30,712.9,70.322
183,11/2/16 5:00,712.9,70.322
184,11/2/16 5:30,709.68,69.7424
185,11/2/16 6:00,709.68,69.7424
186,11/2/16 6:30,706.45,69.161
187,11/2/16 7:00,709.68,69.7424
188,11/2/16 7:30,709.68,69.7424
189,11/2/16 8:00,716.13,70.9034
190,11/2/16 8:30,712.9,70.322
191,11/2/16 9:00,712.9,70.322
192,11/2/16 9:30,716.13,70.9034
193,11/2/16 10:00,716.13,70.9034
194,11/2/16 10:30,722.58,72.0644
195,11/2/16 11:00,722.58,72.0644
196,11/2/16 11:30,722.58,72.0644
197,11/2/16 12:00,732.26,73.8068
198,11/2/16 12:30,732.26,73.8068
199,11/2/16 13:00,741.94,75.5492
200,11/2/16 13:30,741.94,75.5492
201,11/2/16 14:00,738.71,74.9678
202,11/2/16 14:30,745.16,76.1288
203,11/2/16 15:00,741.94,75.5492
204,11/2/16 15:30,741.94,75.5492
205,11/2/16 16:00,735.48,74.3864
206,11/2/16 16:30,735.48,74.3864
207,11/2/16 17:00,725.81,72.6458
208,11/2/16 17:30,729.03,73.2254
209,11/2/16 18:00,719.35,71.483
210,11/2/16 18:30,729.03,73.2254
211,11/2/16 19:00,722.58,72.0644
212,11/2/16 19:30,719.35,71.483
213,11/2/16 20:00,719.35,71.483
214,11/2/16 20:30,722.58,72.0644
215,11/2/16 21:00,725.81,72.6458
216,11/2/16 21:30,729.03,73.2254
217,11/2/16 22:00,729.03,73.2254
218,11/2/16 22:30,732.26,73.8068
219,11/2/16 23:00,729.03,73.2254
220,11/2/16 23:30,732.26,73.8068
221,11/3/16 0:00,719.35,71.483
222,11/3/16 0:30,719.35,71.483
223,11/3/16 1:00,719.35,71.483
224,11/3/16 1:30,722.58,72.0644
225,11/3/16 2:00,725.81,72.6458
226,11/3/16 2:30,716.13,70.9034
227,11/3/16 3:00,712.9,70.322
228,11/3/16 3:30,712.9,70.322
229,11/3/16 4:00,709.68,69.7424
230,11/3/16 4:30,706.45,69.161
231,11/3/16 5:00,712.9,70.322
232,11/3/16 5:30,706.45,69.161
233,11/3/16 6:00,706.45,69.161
234,11/3/16 6:30,706.45,69.161
235,11/3/16 7:00,706.45,69.161
236,11/3/16 7:30,706.45,69.161
237,11/3/16 8:00,706.45,69.161
238,11/3/16 8:30,703.23,68.5814
239,11/3/16 9:00,706.45,69.161
240,11/3/16 9:30,706.45,69.161
241,11/3/16 10:00,709.68,69.7424
242,11/3/16 10:30,712.9,70.322
243,11/3/16 11:00,716.13,70.9034
244,11/3/16 11:30,719.35,71.483
245,11/3/16 12:00,729.03,73.2254
246,11/3/16 12:30,729.03,73.2254
247,11/3/16 13:00,732.26,73.8068
248,11/3/16 13:30,735.48,74.3864
249,11/3/16 14:00,732.26,73.8068
250,11/3/16 14:30,735.48,74.3864
251,11/3/16 15:00,735.48,74.3864
252,11/3/16 15:30,735.48,74.3864
253,11/3/16 16:00,732.26,73.8068
254,11/3/16 16:30,735.48,74.3864
255,11/3/16 17:00,729.03,73.2254
256,11/3/16 17:30,741.94,75.5492
257,11/3/16 18:00,732.26,73.8068
258,11/3/16 18:30,735.48,74.3864
259,11/3/16 19:00,735.48,74.3864
260,11/3/16 19:30,732.26,73.8068
261,11/3/16 20:00,729.03,73.2254
262,11/3/16 20:30,719.35,71.483
263,11/3/16 21:00,725.81,72.6458
264,11/3/16 21:30,722.58,72.0644
265,11/3/16 22:00,741.94,75.5492
266,11/3/16 22:30,725.81,72.6458
267,11/3/16 23:00,729.03,73.2254
268,11/3/16 23:30,732.26,73.8068
269,11/4/16 0:00,729.03,73.2254
270,11/4/16 0:30,725.81,72.6458
271,11/4/16 1:00,729.03,73.2254
272,11/4/16 1:30,729.03,73.2254
273,11/4/16 2:00,725.81,72.6458
274,11/4/16 2:30,722.58,72.0644
275,11/4/16 3:00,722.58,72.0644
276,11/4/16 3:30,722.58,72.0644
277,11/4/16 4:00,722.58,72.0644
278,11/4/16 4:30,719.35,71.483
279,11/4/16 5:00,719.35,71.483
280,11/4/16 5:30,712.9,70.322
281,11/4/16 6:00,716.13,70.9034
282,11/4/16 6:30,716.13,70.9034
283,11/4/16 7:00,716.13,70.9034
284,11/4/16 7:30,716.13,70.9034
285,11/4/16 8:00,712.9,70.322
286,11/4/16 8:30,722.58,72.0644
287,11/4/16 9:00,716.13,70.9034
288,11/4/16 9:30,732.26,73.8068
289,11/4/16 10:00,725.81,72.6458
290,11/4/16 10:30,732.26,73.8068
291,11/4/16 11:00,735.48,74.3864
292,11/4/16 11:30,741.94,75.5492
293,11/4/16 12:00,748.39,76.7102
294,11/4/16 12:30,738.71,74.9678
295,11/4/16 13:00,745.16,76.1288
296,11/4/16 13:30,738.71,74.9678
297,11/4/16 14:00,745.16,76.1288
298,11/4/16 14:30,745.16,76.1288
299,11/4/16 15:00,741.94,75.5492
300,11/4/16 15:30,732.26,73.8068
301,11/4/16 16:00,732.26,73.8068
302,11/4/16 16:30,725.81,72.6458
303,11/4/16 17:00,719.35,71.483
304,11/4/16 17:30,719.35,71.483
305,11/4/16 18:00,680.65,64.517
306,11/4/16 18:30,680.65,64.517
307,11/4/16 19:00,709.68,69.7424
308,11/4/16 19:30,719.35,71.483
309,11/4/16 20:00,719.35,71.483
310,11/4/16 20:30,722.58,72.0644
311,11/4/16 21:00,722.58,72.0644
312,11/4/16 21:30,722.58,72.0644
313,11/4/16 22:00,722.58,72.0644
314,11/4/16 22:30,722.58,72.0644
315,11/4/16 23:00,719.35,71.483
316,11/4/16 23:30,716.13,70.9034
317,11/5/16 0:00,716.13,70.9034
318,11/5/16 0:30,709.68,69.7424
319,11/5/16 1:00,712.9,70.322
320,11/5/16 1:30,709.68,69.7424
321,11/5/16 2:00,703.23,68.5814
322,11/5/16 2:30,706.45,69.161
323,11/5/16 3:00,696.77,67.4186
324,11/5/16 3:30,693.55,66.839
325,11/5/16 4:00,693.55,66.839
326,11/5/16 4:30,690.32,66.2576
327,11/5/16 5:00,690.32,66.2576
328,11/5/16 5:30,683.87,65.0966
329,11/5/16 6:00,690.32,66.2576
330,11/5/16 6:30,680.65,64.517
331,11/5/16 7:00,690.32,66.2576
332,11/5/16 7:30,683.87,65.0966
333,11/5/16 8:00,703.23,68.5814
